source_name,canonical_name
Adda Athanasopoulos Zekkos,Adda Athanasopoulos-Zekkos
Evan Variano,Evan A. Variano
Eyitayo Opabola,Eyitayo Ademola Opabola
Fotini Chow,Fotini Katopodes Chow
Filippos Filippou,Filip C. Filippou
Iris Tommelein,Iris D. Tommelein
Jonathan Bray,Jonathan D. Bray
Kara Nelson,Kara L. Nelson
Khalid Mosalam,Khalid M. Mosalam
Luis Ceferino Rojas,Luis Ceferino
Matthew De Jong,Matthew DeJong
Mohamad Mahdi Hallal,Mohamad Hallal
Paulo Monteiro,Paulo J. M. Monteiro
James Rector III,James W. Rector
SHAOFAN LI,Shaofan Li
David Sedlak,David L. Sedlak
Thomas Kirchstetter,Thomas W. Kirchstetter
